NVDA
  2021-01: mean_close=13.165884, n=19
  2021-02: mean_close=14.155300, n=19
  2021-03: mean_close=12.757104, n=23
  2021-04: mean_close=14.892319, n=21
  2021-05: mean_close=14.570225, n=20
  2021-06: mean_close=18.103609, n=22
  2021-07: mean_close=19.532357, n=21
  2021-08: mean_close=20.598364, n=22
  2021-09: mean_close=21.826571, n=21
  2021-10: mean_close=22.000429, n=21
  2021-11: mean_close=30.307900, n=20
  2021-12: mean_close=29.824727, n=22
  2022-01: mean_close=25.664250, n=20
  2022-02: mean_close=24.522947, n=19
  2022-03: mean_close=24.749478, n=23
  2022-04: mean_close=21.858700, n=20
  2022-05: mean_close=17.688571, n=21
  2022-06: mean_close=16.916952, n=21
  2022-07: mean_close=16.232400, n=20
  2022-08: mean_close=17.664261, n=23
  2022-09: mean_close=13.079857, n=21
  2022-10: mean_close=12.375810, n=21
  2022-11: mean_close=15.197950, n=20
  2022-12: mean_close=16.122429, n=21
  2023-01: mean_close=17.183300, n=20
  2023-02: mean_close=21.862556, n=18
  2023-03: mean_close=25.020739, n=23
  2023-04: mean_close=27.063316, n=19
  2023-05: mean_close=30.641048, n=21
  2023-06: mean_close=40.839095, n=21
  2023-07: mean_close=44.680600, n=20
  2023-08: mean_close=45.171957, n=23
  2023-09: mean_close=44.245900, n=20
  2023-10: mean_close=43.557182, n=22
  2023-11: mean_close=47.453476, n=21
  2023-12: mean_close=47.996100, n=20
  2024-01: mean_close=56.185190, n=21
  2024-02: mean_close=72.161316, n=19
  2024-03: mean_close=89.372125, n=20
  2024-04: mean_close=86.086476, n=21
  2024-05: mean_close=96.150182, n=22
  2024-06: mean_close=124.525947, n=19
  2024-07: mean_close=122.085714, n=21
  2024-08: mean_close=117.061818, n=22
  2024-09: mean_close=115.001500, n=20
  2024-10: mean_close=134.275435, n=23
  2024-11: mean_close=142.462000, n=20
  2024-12: mean_close=137.177619, n=21
  2025-01: mean_close=136.593158, n=19
  2025-02: mean_close=130.314737, n=19
  2025-03: mean_close=114.890000, n=21
  2025-04: mean_close=105.001500, n=20
  2025-05: mean_close=127.281905, n=21
  2025-06: mean_close=145.671500, n=20
  2025-07: mean_close=168.041727, n=22
  2025-08: mean_close=179.394286, n=21
  2025-09: mean_close=175.729524, n=21
  2025-10: mean_close=188.243043, n=23
  2025-11: mean_close=187.973158, n=19
  2025-12: mean_close=182.334545, n=22
  2026-01: mean_close=186.722000, n=20
  2026-02: mean_close=185.711579, n=19

MSFT
  2021-01: mean_close=206.955263, n=19
  2021-02: mean_close=225.282632, n=19
  2021-03: mean_close=219.214348, n=23
  2021-04: mean_close=241.120000, n=21
  2021-05: mean_close=233.159500, n=20
  2021-06: mean_close=245.118182, n=22
  2021-07: mean_close=267.602381, n=21
  2021-08: mean_close=280.668636, n=22
  2021-09: mean_close=283.534286, n=21
  2021-10: mean_close=290.202381, n=21
  2021-11: mean_close=322.796667, n=21
  2021-12: mean_close=320.087727, n=22
  2022-01: mean_close=296.022000, n=20
  2022-02: mean_close=286.480556, n=18
  2022-03: mean_close=283.649565, n=23
  2022-04: mean_close=276.710500, n=20
  2022-05: mean_close=254.894762, n=21
  2022-06: mean_close=248.019048, n=21
  2022-07: mean_close=250.390000, n=19
  2022-08: mean_close=269.380870, n=23
  2022-09: mean_close=236.636000, n=20
  2022-10: mean_close=226.627368, n=19
  2022-11: mean_close=225.496842, n=19
  2022-12: mean_close=235.462381, n=21
  2023-01: mean_close=227.101000, n=20
  2023-02: mean_close=249.839474, n=19
  2023-03: mean_close=257.242609, n=23
  2023-04: mean_close=278.767222, n=18
  2023-05: mean_close=305.319545, n=22
  2023-06: mean_close=325.841429, n=21
  2023-07: mean_close=332.872000, n=20
  2023-08: mean_close=316.022609, n=23
  2023-09: mean_close=317.902000, n=20
  2023-10: mean_close=320.802273, n=22
  2023-11: mean_close=360.600952, n=21
  2023-12: mean_close=365.188000, n=20
  2024-01: mean_close=382.060000, n=21
  2024-02: mean_close=402.016500, n=20
  2024-03: mean_close=410.142000, n=20
  2024-04: mean_close=406.623636, n=22
  2024-05: mean_close=411.306818, n=22
  2024-06: mean_close=432.452105, n=19
  2024-07: mean_close=439.449091, n=22
  2024-08: mean_close=407.050000, n=22
  2024-09: mean_close=419.093000, n=20
  2024-10: mean_close=415.224091, n=22
  2024-11: mean_close=414.044500, n=20
  2024-12: mean_close=435.098571, n=21
  2025-01: mean_close=424.798421, n=19
  2025-02: mean_close=404.086316, n=19
  2025-03: mean_close=384.170000, n=21
  2025-04: mean_close=374.138500, n=20
  2025-05: mean_close=446.251000, n=20
  2025-06: mean_close=475.899500, n=20
  2025-07: mean_close=503.642727, n=22
  2025-08: mean_close=513.959524, n=21
  2025-09: mean_close=506.132857, n=21
  2025-10: mean_close=519.383043, n=23
  2025-11: mean_close=495.266316, n=19
  2025-12: mean_close=482.953636, n=22
  2026-01: mean_close=465.795789, n=19
  2026-02: mean_close=401.460000, n=19

TSMC
  2021-01: mean_close=114.700700, n=19
  2021-02: mean_close=123.173332, n=19
  2021-03: mean_close=108.607491, n=23
  2021-04: mean_close=111.372519, n=21
  2021-05: mean_close=104.979900, n=20
  2021-06: mean_close=109.500127, n=22
  2021-07: mean_close=109.834257, n=21
  2021-08: mean_close=107.400036, n=22
  2021-09: mean_close=110.735990, n=21
  2021-10: mean_close=104.909038, n=21
  2021-11: mean_close=111.206657, n=21
  2021-12: mean_close=111.991973, n=22
  2022-01: mean_close=120.212442, n=19
  2022-02: mean_close=112.353495, n=19
  2022-03: mean_close=98.111391, n=23
  2022-04: mean_close=91.193200, n=20
  2022-05: mean_close=84.220986, n=21
  2022-06: mean_close=81.453700, n=21
  2022-07: mean_close=76.659900, n=20
  2022-08: mean_close=80.542052, n=23
  2022-09: mean_close=70.728952, n=21
  2022-10: mean_close=59.158843, n=21
  2022-11: mean_close=67.164332, n=19
  2022-12: mean_close=71.984938, n=21
  2023-01: mean_close=80.931700, n=20
  2023-02: mean_close=86.501805, n=19
  2023-03: mean_close=84.716013, n=23
  2023-04: mean_close=81.932721, n=19
  2023-05: mean_close=83.334776, n=21
